buy_date,buy_price,sell_date,sell_price,shares,cost,sell_value,return,profit,hold_days,exit_reason,entry_type,confidence
2023-09-01,48.47373962402344,2023-09-15,43.871700286865234,12.37783601293765,600.0,543.0367117595675,-0.09493881373405422,-56.96328824043246,14,Hard Stop,bull_market,0.9999922513961792
2023-09-05,48.5127067565918,2023-09-15,43.871700286865234,9.27592027090624,450.0,406.95039401005636,-0.09566579108876361,-43.04960598994364,10,Hard Stop,bull_market,0.9951860308647156
2023-09-06,47.03066253662109,2023-09-20,42.21177291870117,7.176169371145917,337.5,302.91883192095,-0.1024627202342221,-34.581168079049974,14,Hard Stop,bull_market,0.9999960660934448
2023-09-07,46.2111930847168,2023-09-20,42.21177291870117,5.4775690282646,253.125,231.21789996761595,-0.0865465680291716,-21.90710003238405,13,Hard Stop,bull_market,0.9999834299087524
2023-09-08,45.54261779785156,2023-09-21,40.99055862426758,4.1684856773638455,189.84375,170.86855653240247,-0.09995163637253024,-18.975193467597535,13,Hard Stop,bull_market,0.9999661445617676
2023-09-11,45.14887237548828,2023-09-21,40.99055862426758,3.15362942657458,142.3828125,129.26903188922068,-0.09210227260245574,-13.113780610779315,10,Hard Stop,bull_market,0.9996080994606018
2023-09-12,44.8410758972168,2023-09-21,40.99055862426758,2.3814573410275393,106.78710937499999,97.61726674858173,-0.08587031412393509,-9.169842626418259,9,Hard Stop,bull_market,0.969845175743103
2023-10-12,46.914737701416016,2023-10-18,42.16879653930664,2.9995998380225695,140.72543961003882,126.48951526891089,-0.10116098681643337,-14.235924341127927,6,Hard Stop,bull_market,0.9938879609107971
2023-10-16,46.06528472900391,2023-10-18,42.16879653930664,1.7183885923276803,79.15805978064682,72.46237892533149,-0.08458621742207406,-6.695680855315331,2,Hard Stop,bull_market,0.9999985694885254
2023-10-06,45.73249816894531,2023-10-19,42.07386016845703,4.1028574207097375,187.63391948005176,172.62304941005777,-0.08000083413271053,-15.010870069993985,13,Hard Stop,bull_market,0.99979168176651
2023-10-13,45.43169021606445,2023-10-20,41.36031723022461,2.3231378627029193,105.54407970752911,96.08571897093873,-0.08961526561035194,-9.458360736590379,7,Hard Stop,bull_market,0.9999994039535522
2023-09-15,43.871700286865234,2023-10-26,40.30000305175781,7.238997039026056,317.587108473656,291.7316027644158,-0.08141232757684469,-25.855505709240163,41,Hard Stop,bull_market,0.9996551275253296
2023-09-18,43.93764877319336,2023-10-26,40.30000305175781,5.421098716155322,238.190331355242,218.47029480493984,-0.08279108743877295,-19.720036550302154,38,Hard Stop,bull_market,0.999993085861206
