ticker,hard_stop,callback_base,callback_high,total_return,cagr,sharpe,mdd,trades,win_rate,return_mdd_ratio
PLTR,-0.03,0.03,0.07,0.05577717315530777,0.026410040767415044,0.3172808839272216,-0.6720126917153741,59,0.2711864406779661,0.08300017818552119
PLTR,-0.03,0.03,0.09,0.08258780362653732,0.038846477846597116,0.3367831175210879,-0.6643379023978376,57,0.2807017543859649,0.12431595928585112
PLTR,-0.03,0.03,0.11,0.15142940367603303,0.07006467318278609,0.3838319047214825,-0.6747995342600147,55,0.2909090909090909,0.2244065029506734
PLTR,-0.03,0.04,0.07,0.09054502453422546,0.04250665139706711,0.34269135310591076,-0.6612123991617915,58,0.27586206896551724,0.13693788054943912
PLTR,-0.03,0.04,0.09,0.11823149304533005,0.05513492088481842,0.36217299055634156,-0.6532845522568108,56,0.2857142857142857,0.18098008384997355
PLTR,-0.03,0.04,0.11,0.16478342870998383,0.07600706017467895,0.39353577511194016,-0.664091031850542,54,0.2962962962962963,0.2481337961315361
PLTR,-0.03,0.05,0.07,0.3114653150014877,0.13908007977505665,0.4864473035815109,-0.6188701873007738,54,0.2777777777777778,0.5032805286031885
PLTR,-0.03,0.05,0.09,0.34441281236219407,0.15273503505641806,0.5056335657719295,-0.6188701873007738,52,0.28846153846153844,0.5565186680980123
PLTR,-0.03,0.05,0.11,0.400334982088089,0.17551943132618497,0.5368741945487701,-0.6188701873007738,50,0.3,0.6468803802525461
PLTR,-0.03,0.06,0.07,0.41585621009635926,0.18175904194422077,0.5450491218873291,-0.6188701873007738,53,0.2830188679245283,0.6719603216146703
PLTR,-0.03,0.06,0.09,0.45142825758600236,0.19592640082447987,0.5643348336962701,-0.6188701873007738,51,0.29411764705882354,0.7294393345314049
PLTR,-0.03,0.06,0.11,0.400334982088089,0.17551943132618497,0.5368741945487701,-0.6188701873007738,50,0.3,0.6468803802525461
PLTR,-0.03,0.08,0.07,0.062146050256729125,0.029379049618829534,0.32178887059982453,-0.7021807880533099,53,0.2641509433962264,0.0885043443427435
PLTR,-0.03,0.08,0.09,0.08884003245544433,0.041723558249674664,0.3410785180763618,-0.6952114086585516,51,0.27450980392156865,0.12778851346364703
PLTR,-0.03,0.08,0.11,0.06056499007177353,0.0286428648085435,0.32192519967527455,-0.704724447969534,50,0.28,0.08594137786233268
PLTR,-0.04,0.03,0.07,0.06404164947414398,0.030260942010643,0.32352835454445644,-0.6890181603357408,54,0.2962962962962963,0.09294624316278997
PLTR,-0.04,0.03,0.09,0.09200977418279647,0.04317889456888513,0.3435740098728622,-0.6814659458906227,54,0.3148148148148148,0.13501742051475057
PLTR,-0.04,0.03,0.11,0.01495341527223587,0.0071538768407570785,0.2884174286827944,-0.6913947065929854,51,0.3137254901960784,0.021627899562498012
PLTR,-0.04,0.04,0.07,0.27672556390571595,0.12448779619722794,0.4646335909259271,-0.6387202057721395,51,0.3137254901960784,0.4332500544133976
PLTR,-0.04,0.04,0.09,0.31026911332082746,0.1385809837580465,0.4847472895882061,-0.6387202057721395,51,0.3333333333333333,0.48576686711476064
PLTR,-0.04,0.04,0.11,0.2178270072979927,0.0992680640220609,0.42885247886716654,-0.6387202057721395,48,0.3333333333333333,0.34103666257851484
PLTR,-0.04,0.05,0.07,0.35432745775699614,0.1568099946427144,0.5112513614675661,-0.63052604650431,49,0.30612244897959184,0.5619553065593684
PLTR,-0.04,0.05,0.09,0.38954594574975965,0.17116098327038753,0.5310268954530298,-0.63052604650431,49,0.32653061224489793,0.6178110292341379
PLTR,-0.04,0.05,0.11,0.29147558765745163,0.13070837727914508,0.4753326622446178,-0.63052604650431,46,0.32608695652173914,0.46227366700141426
PLTR,-0.04,0.06,0.07,0.37197998988246916,0.16402706222819763,0.5212083511133422,-0.63052604650431,49,0.30612244897959184,0.5899518218870701
PLTR,-0.04,0.06,0.09,0.407655584549427,0.17846680450663244,0.5409930506155401,-0.63052604650431,49,0.32653061224489793,0.6465325053730996
PLTR,-0.04,0.06,0.11,0.29147558765745163,0.13070837727914508,0.4753326622446178,-0.63052604650431,46,0.32608695652173914,0.46227366700141426
PLTR,-0.04,0.08,0.07,0.16872752046537398,0.07775535451231907,0.3981099193630611,-0.6807856198573853,49,0.30612244897959184,0.247842368498794
PLTR,-0.04,0.08,0.09,0.022870088898658752,0.010919128426936098,0.29486165188919017,-0.7129318510340187,50,0.3,0.032078927130957245
PLTR,-0.04,0.08,0.11,-0.046988942181587216,-0.022849383056368633,0.24217594897253464,-0.7218911272108187,47,0.2978723404255319,0.06509145272797448
PLTR,-0.05,0.03,0.07,-0.12591430582523347,-0.06258792078365993,0.16056391659418687,-0.7498174185398747,45,0.28888888888888886,0.16792662148397056
PLTR,-0.05,0.03,0.09,-0.10469135845518113,-0.05172501576421007,0.17938128743722745,-0.7437422565470803,46,0.30434782608695654,0.14076295589445773
PLTR,-0.05,0.03,0.11,-0.15252255013275146,-0.07640281861019738,0.1393471708379965,-0.7517290053906299,42,0.30952380952380953,0.20289565659834335
PLTR,-0.05,0.04,0.07,-0.08811773096990586,-0.04333459831978337,0.1931643325546834,-0.7390012193616214,44,0.29545454545454547,0.11923895206292819
PLTR,-0.05,0.04,0.09,-0.065981791826725,-0.03225092864739776,0.2120284175267593,-0.7326626769929246,45,0.3111111111111111,0.09005753111040785
PLTR,-0.05,0.04,0.11,-0.11588872400188446,-0.057439471089912875,0.17166829153592883,-0.7409960623262647,41,0.3170731707317073,0.15639587022644394
